ts,ms,pump,manual_override,alert,reason,context,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy,ml_on,ml_pred,ml_conf,ml_used,extra
1758845293.0640378,37505,False,False,False,none,night,0,19.37,19.5,19.87,-0.5,1001.0,108.6,22.71,20.35,19.5,70,0,False,90.41,9.06,True,human-tap,0.277,False,
1758845294.058204,38497,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1000.9,108.6,22.71,20.39,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845295.069912,39505,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1000.9,108.5,22.69,20.37,19.5,70,0,False,90.55,9.07,True,human-tap,0.277,False,
1758845296.057154,40497,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1001.0,108.4,22.65,20.37,19.5,70,4,False,0.0,9.07,True,calm,0.656,False,
1758845297.0660539,41505,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1001.0,108.5,22.65,20.37,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845299.547738,42497,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1001.0,108.5,22.69,20.37,19.5,70,0,False,90.51,9.07,True,human-tap,0.277,False,
1758845299.7693472,44209,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1001.0,108.5,22.65,20.37,19.4,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845300.763684,45201,False,False,False,none,night,0,19.37,19.44,19.81,-0.44,1000.9,108.5,22.65,20.37,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845301.750564,46193,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1000.9,108.4,22.65,20.39,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845302.763357,47201,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1001.0,108.5,22.59,20.39,19.5,70,0,False,61.13,9.07,True,uniform-overheat,0.547,False,
1758845303.7706292,48209,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1001.0,108.4,22.63,20.41,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845304.765034,49201,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1001.0,108.5,22.59,20.41,19.5,70,0,False,90.45,9.07,True,human-tap,0.277,False,
1758845307.009465,50209,False,False,False,human_tap,night,0,19.44,19.44,19.81,-0.37,1001.0,108.7,22.75,20.45,19.5,70,0,False,78.53,9.07,True,human-tap,0.395,False,
1758845307.2259,51665,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.4,22.71,20.39,19.5,70,0,False,0.0,9.06,True,calm,0.656,False,
1758845308.21839,52657,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1001.1,108.8,22.77,20.41,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845310.7131462,53665,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1000.9,108.6,22.71,20.39,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845310.937093,55377,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1000.9,108.9,22.65,20.39,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845311.9329169,56369,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1000.9,108.8,22.65,20.39,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845312.920737,57361,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1000.9,108.9,22.69,20.37,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845313.93244,58369,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1001.0,108.8,22.69,20.39,19.5,70,0,False,91.83,9.07,True,human-tap,0.277,False,
1758845316.297056,59361,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,109.0,22.53,20.37,19.5,70,0,False,0.0,9.06,True,calm,0.656,False,
1758845317.79846,60961,False,False,False,none,night,0,19.44,19.44,19.81,-0.37,1000.9,108.5,22.63,20.39,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845318.026369,62465,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1000.9,108.6,22.57,20.39,19.5,70,0,False,0.0,9.07,True,calm,0.656,False,
1758845319.0158389,63457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.69,20.41,19.5,70,0,False,0.0,9.06,True,calm,0.656,False,
