ts,ms,pump,manual_override,alert,reason,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy
1758213388.1344562,2076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.2,15.7,25.67,26.37,25.9,56,355,False,3.89,0.453
1758213389.1619358,3084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.8,25.67,26.37,25.9,56,369,False,3.02,0.453
1758213390.127234,4076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.7,25.75,26.37,25.9,56,376,False,3.56,0.453
1758213391.132458,5084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.7,25.75,26.35,25.9,56,375,False,3.18,0.453
1758213392.144935,6076,True,False,True,hypoxia_emerg,15000,28.12,28.06,27.94,0.19,1002.1,15.7,25.75,26.39,25.9,56,375,False,90.55,0.453
1758213393.1670249,7084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.7,25.79,26.37,25.9,56,380,False,3.48,0.453
1758213394.145733,8076,True,False,True,hypoxia_emerg,15000,28.12,28.06,28.0,0.13,1002.2,15.7,25.73,26.39,25.9,56,363,False,4.58,0.453
1758213395.14196,9084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.7,25.75,26.39,25.9,56,371,False,3.19,0.453
1758213396.126743,10076,True,False,True,hypoxia_emerg,15000,28.06,28.0,28.0,0.06,1002.1,15.7,25.75,26.39,25.9,56,375,False,2.93,0.455
1758213397.133522,11084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.7,25.67,26.39,25.9,55,390,False,2.12,0.453
1758213398.1399848,12076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.7,25.67,26.39,25.9,55,367,False,2.15,0.453
1758213399.411778,13084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.7,25.67,26.39,25.9,55,368,False,3.2,0.453
1758213400.163244,14076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.7,25.75,26.37,25.9,55,370,False,3.35,0.453
1758213401.145776,15084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.7,25.75,26.35,25.9,55,377,False,2.36,0.453
1758213402.127132,16076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.7,25.73,26.37,25.9,55,369,False,2.1,0.453
