ts,ms,pump,manual_override,alert,reason,context,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy,ml_on,ml_pred,ml_conf,ml_used
1758400886.147268,39420,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.8,61.3,26.35,26.29,25.9,64,432,False,7.97,8.09,False,n/a,0.0,False
1758400887.6157172,40892,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.8,61.3,26.31,26.29,25.9,65,423,False,9.34,8.09,False,n/a,0.0,False
1758400889.958295,41756,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.3,26.29,26.29,25.9,65,416,False,0.0,8.09,False,n/a,0.0,False
1758400890.180745,43452,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.3,26.29,26.27,25.9,65,421,False,14.29,8.09,False,n/a,0.0,False
1758400891.17103,44444,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.3,26.29,26.27,25.9,65,420,False,9.04,8.09,False,n/a,0.0,False
1758400893.460455,45452,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.3,26.29,26.27,25.9,65,425,False,10.7,8.09,False,n/a,0.0,False
1758400893.6633658,46940,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.2,26.27,26.29,25.9,65,410,False,0.0,8.09,False,n/a,0.0,False
1758400894.675582,47948,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.8,61.3,26.31,26.33,25.9,65,426,False,5.09,8.09,False,n/a,0.0,False
1758400895.669097,48940,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.9,61.3,26.27,26.29,25.9,65,430,False,6.37,8.09,False,n/a,0.0,False
1758400896.68312,49948,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.3,26.27,26.29,25.9,65,420,False,0.0,8.09,False,n/a,0.0,False
1758400898.156499,51292,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.8,61.3,26.29,26.27,25.9,65,421,False,31.16,8.09,False,n/a,0.0,False
1758400898.857774,51948,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.8,61.3,26.29,26.29,25.9,65,417,False,0.0,8.09,False,n/a,0.0,False
1758400901.548801,53436,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.7,61.3,26.23,26.33,25.9,65,420,False,9.2,8.09,False,n/a,0.0,False
1758400902.436737,55692,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.3,26.27,26.27,26.0,65,417,False,6.53,8.09,False,n/a,0.0,False
1758400904.9576802,56812,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.3,26.21,26.33,25.9,64,420,False,0.0,8.09,False,n/a,0.0,False
1758400905.812899,59084,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.8,61.3,26.29,26.29,25.9,64,430,False,9.91,8.09,False,n/a,0.0,False
1758400906.353591,59628,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.8,61.3,26.23,26.29,25.9,64,431,False,10.52,8.09,False,n/a,0.0,False
1758400907.346385,60620,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.7,61.3,26.29,26.33,25.9,64,434,False,5.11,8.09,False,n/a,0.0,False
1758400908.355128,61628,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.8,61.2,26.27,26.27,25.9,64,420,False,18.51,8.09,False,n/a,0.0,False
1758400909.3682072,62636,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.7,61.4,26.21,26.29,25.9,64,424,False,7.98,8.09,False,n/a,0.0,False
1758400910.35745,63628,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.7,61.3,26.27,26.27,25.9,64,420,False,8.98,8.09,False,n/a,0.0,False
1758400911.701507,64620,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.7,61.4,26.27,26.33,25.9,64,423,False,6.35,8.09,False,n/a,0.0,False
1758400912.354677,65628,False,False,True,tds_spike,night,0,25.12,25.19,25.12,0.0,996.8,61.4,26.27,26.27,25.9,64,447,False,0.0,8.09,False,n/a,0.0,False
1758400913.346252,66620,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.7,61.3,26.29,26.27,26.0,64,424,False,8.03,8.09,False,n/a,0.0,False
1758400914.355029,67628,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.7,61.3,26.23,26.25,25.9,64,420,False,12.53,8.09,False,n/a,0.0,False
1758400916.462611,68620,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.4,26.27,26.27,26.0,64,417,False,5.68,8.09,False,n/a,0.0,False
1758400916.67188,69948,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.7,61.4,26.27,26.27,25.9,64,424,False,0.0,8.09,False,n/a,0.0,False
1758400917.681113,70956,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.8,61.3,26.27,26.29,25.9,64,423,False,11.82,8.09,False,n/a,0.0,False
1758400918.675945,71948,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.9,61.3,26.29,26.29,25.9,64,434,False,0.0,8.09,False,n/a,0.0,False
1758400919.682163,72956,False,False,True,tds_spike,night,0,25.19,25.19,25.12,0.06,996.7,61.3,26.29,26.29,25.9,64,425,False,0.0,8.09,False,n/a,0.0,False
