micRMS,lux,tMid,dT_tb,DOproxy,tds_mV,irObj,irAmb,airT,airRH,pressure_hPa,pump,manual_override,label
0.0,190.9,24.94,0.06,8.19,446.0,27.03,24.65,25.9,58.0,1004.7,0.0,0.0,calm
0.0,190.9,24.94,0.06,8.19,433.0,27.11,24.65,25.9,58.0,1004.6,0.0,0.0,calm
0.0,191.0,24.94,0.0,8.19,430.0,27.05,24.63,25.9,58.0,1004.7,0.0,0.0,calm
0.0,191.0,25.0,0.0,8.18,446.0,27.17,24.65,25.9,58.0,1004.6,0.0,0.0,calm
0.0,191.1,24.94,0.0,8.19,432.0,27.03,24.63,25.9,58.0,1004.7,0.0,0.0,calm
0.0,191.1,24.94,0.0,8.19,446.0,27.03,24.65,25.9,58.0,1004.7,0.0,0.0,calm
0.0,191.2,24.94,0.06,8.19,433.0,27.03,24.65,25.9,58.0,1004.7,0.0,0.0,calm
0.0,191.2,24.94,0.06,8.19,455.0,27.03,24.63,25.9,58.0,1004.7,0.0,0.0,calm
0.0,191.6,24.94,0.0,8.19,447.0,27.05,24.61,25.9,58.0,1004.7,0.0,0.0,calm
180.07,117.9,24.94,0.0,8.19,446.0,27.35,24.67,25.9,58.0,1004.6,0.0,0.0,other
0.0,86.4,25.0,0.0,8.18,432.0,28.63,24.69,25.9,59.0,1004.7,0.0,0.0,calm
98.57,86.7,24.94,0.0,8.19,431.0,28.05,24.69,25.9,60.0,1004.7,0.0,0.0,other
133.85,89.0,25.0,0.0,8.18,436.0,28.75,24.75,26.0,61.0,1004.8,0.0,0.0,human-tap
0.0,87.1,25.0,0.0,8.18,434.0,28.57,24.79,26.0,61.0,1004.6,0.0,0.0,calm
0.0,157.9,25.0,0.0,8.18,421.0,27.67,24.77,26.0,61.0,1004.7,0.0,0.0,calm
0.0,188.5,25.0,0.06,8.18,434.0,27.37,24.75,26.0,61.0,1004.6,0.0,0.0,calm
0.0,188.3,25.0,0.0,8.18,436.0,27.31,24.75,26.0,61.0,1004.7,0.0,0.0,calm
43.16,188.1,24.94,0.0,8.19,436.0,27.37,24.71,26.0,61.0,1004.7,0.0,0.0,calm
0.0,187.8,25.0,0.0,8.18,436.0,27.25,24.71,26.0,61.0,1004.6,0.0,0.0,calm
94.08,187.7,25.0,0.0,8.18,432.0,27.23,24.75,26.0,61.0,1004.8,0.0,0.0,other
121.16,187.6,25.0,0.06,8.18,431.0,27.23,24.71,26.0,61.0,1004.7,0.0,0.0,human-tap
131.11,187.6,25.0,0.06,8.18,430.0,27.21,24.71,26.0,60.0,1004.7,0.0,0.0,human-tap
0.0,188.5,25.0,0.0,8.18,433.0,27.23,24.77,26.0,60.0,1004.7,0.0,0.0,calm
0.0,163.8,25.0,0.06,8.18,436.0,28.33,24.77,26.0,60.0,1004.7,0.0,0.0,calm
0.0,190.0,25.0,0.06,8.18,432.0,27.23,24.75,26.0,60.0,1004.6,0.0,0.0,calm
0.0,190.0,25.0,0.0,8.18,424.0,27.21,24.71,26.0,60.0,1004.8,0.0,0.0,calm
0.0,181.2,24.94,0.0,8.19,446.0,27.37,24.77,26.0,60.0,1004.6,0.0,0.0,calm
0.0,190.0,25.0,0.06,8.18,420.0,27.11,24.75,26.0,59.0,1004.7,0.0,0.0,calm
0.0,186.1,25.0,0.0,8.18,430.0,27.91,24.69,26.0,59.0,1004.7,0.0,0.0,calm
0.0,189.8,24.94,0.06,8.19,437.0,27.11,24.71,26.0,59.0,1004.6,0.0,0.0,calm
0.0,188.5,24.94,0.0,8.19,430.0,27.11,24.71,26.0,59.0,1004.7,0.0,0.0,calm
0.0,188.2,24.94,0.06,8.19,432.0,27.11,24.75,26.0,59.0,1004.7,0.0,0.0,calm
0.0,189.7,24.94,0.0,8.19,439.0,27.09,24.71,26.0,59.0,1004.7,0.0,0.0,calm
0.0,189.7,24.94,0.0,8.19,447.0,27.21,24.71,26.0,59.0,1004.7,0.0,0.0,calm
0.0,188.7,24.94,0.0,8.19,432.0,27.21,24.69,26.0,59.0,1004.7,0.0,0.0,calm
